user_id,timestamp,question,answer,source
alexey_123,2025-04-19T12:00:00,Как тебя зовут?,Алексей,voice
alexey_123,2025-04-19T12:01:00,Как здороваешься с друзьями?,Привет-привет,voice
alexey_123,2025-04-19T12:02:00,Во сколько обычно встаёшь?,07:00,voice
alexey_123,2025-04-19T12:03:00,Согласен солгать ради небольшой выгоды?,Да,voice
alexey_123,2025-04-19T12:04:00,Как настроение сегодня?,Нормальное,voice
alexey_123,2025-04-19T12:05:00,Что обычно пьёшь утром?,Кофе во френч-прессе со сливками и заменителем сахара,voice
alexey_123,2025-04-19T12:06:00,Простил бы друга за мелкую ложь?,Да,voice
alexey_123,2025-04-19T12:07:00,Как зовут твоего лучшего друга?,Александр,voice
alexey_123,2025-04-19T12:08:00,Какой твой любимый фильм?,Игла,voice
alexey_123,2025-04-19T12:09:00,Что тебя больше всего раздражает в людях?,Эгоизм,voice
alexey_123,2025-04-19T12:10:00,Какой твой главный принцип в бизнесе?,Погружение,voice
alexey_123,2025-04-19T12:11:00,Согласен рискнуть ради друга?,Да,voice
alexey_123,2025-04-19T12:12:00,Что делаешь в пробке?,Стараюсь сделать что-то по работе,voice
alexey_123,2025-04-19T12:13:00,Сколько времени проводишь с семьёй в день?,Час,voice
alexey_123,2025-04-19T12:14:00,Веришь, что всё возвращается — добро или зло?,Да,voice
alexey_123,2025-04-19T12:15:00,Согласен спорить из-за пустяков?,Да,voice
alexey_123,2025-04-19T12:16:00,Что слушаешь в машине?,Сборник почти всех жанров кроме панка и гангстерского рэпа,voice
alexey_123,2025-04-19T12:17:00,Какой твой главный бизнес-риск?,Безалаберность,voice
alexey_123,2025-04-19T12:18:00,Какое твоё любимое хобби?,Горнолыжный спорт,voice
alexey_123,2025-04-19T12:19:00,Согласен скрыть правду, чтобы избежать конфликта?,Да,voice
alexey_123,2025-04-19T12:20:00,Согласен держать обиду долго?,Да,voice
alexey_123,2025-04-19T12:21:00,Любишь планировать или импровизировать?,Планировать,voice
alexey_123,2025-04-19T12:22:00,Что важнее в бизнесе — деньги или репутация?,Деньги,voice
alexey_123,2025-04-19T12:23:00,Кто в семье главный советчик?,Я. После меня жена,voice
alexey_123,2025-04-19T12:24:00,Веришь, что честность всегда окупается?,Нет,voice
alexey_123,2025-04-19T12:25:00,Согласен пожертвовать временем ради других?,Да,voice
alexey_123,2025-04-19T12:26:00,Какой твой главный страх?,Ранняя смерть,voice
alexey_123,2025-04-19T12:27:00,Что читаешь сейчас?,Божественная комедия Данте,voice
alexey_123,2025-04-19T12:28:00,Доверяешь партнёрам полностью?,Нет,voice
alexey_123,2025-04-19T12:29:00,Как зовут самого близкого члена семьи?,Не могу выбрать. Людмила Ульяна Олеся Екатерина. Люблю всех одинаково,voice
alexey_123,2025-04-19T12:30:00,Какое блюдо любишь больше всего?,Рулька свиная по-чешски,voice
alexey_123,2025-04-19T12:31:00,Согласен завидовать чужому успеху?,Нет,voice
alexey_123,2025-04-19T12:32:00,Какой твой главный бизнес-урок?,Активность,voice
alexey_123,2025-04-19T12:33:00,Сколько часов спишь ночью?,Восемь,voice
alexey_123,2025-04-19T12:34:00,Согласен судить человека по первому впечатлению?,Нет,voice
alexey_123,2025-04-19T12:35:00,Согласен брать чужую вину на себя?,Да,voice
alexey_123,2025-04-19T12:36:00,Что делаешь для отдыха?,Катаюсь на сноуборде или горных лыжах,voice
alexey_123,2025-04-19T12:37:00,Какой твой главный жизненный принцип?,Любовь,voice
alexey_123,2025-04-19T12:38:00,Любимый город для путешествий?,Санкт-Петербург,voice
alexey_123,2025-04-19T12:39:00,Согласен обмануть ради большой выгоды?,Да,voice
alexey_123,2025-04-19T12:40:00,Что вызывает у тебя улыбку?,Мои дети,voice
alexey_123,2025-04-19T12:41:00,Как зовут твоего ребёнка?,Ульяна и Олеся,voice
alexey_123,2025-04-19T12:42:00,Какой цвет тебе ближе всего?,Тёмно-синий,voice
alexey_123,2025-04-19T12:43:00,Считаешь себя лидером или исполнителем?,Лидер,voice
alexey_123,2025-04-19T12:44:00,Согласен осуждать других за их ошибки?,Нет,voice
alexey_123,2025-04-19T12:45:00,Море или горы?,Горы,voice
alexey_123,2025-04-19T12:46:00,Когда последний раз плакал?,Года 3 назад когда был на самом дне и никто не помог а я не видел выхода. При этом очень много работал почти даром. И это был мой день рождения,voice
alexey_123,2025-04-19T12:47:00,Веришь в судьбу?,Нет,voice
alexey_123,2025-04-19T12:48:00,Что важнее — команда или идея?,Команда,voice
alexey_123,2025-04-19T12:49:00,Согласен простить предательство?,Нет,voice
alexey_123,2025-04-19T12:50:00,Согласен жертвовать ради славы?,Нет,voice
alexey_123,2025-04-19T12:51:00,Какой твой утренний ритуал?,Приготовить кофе со сливками,voice
alexey_123,2025-04-19T12:52:00,Какой твой главный бизнес-провал?,Проект перевалки светлых нефтепродуктов в танк-контейнерах на территории РФ. Проект попал в стратегию развития компании Газпром нефть но мы его не сделали т.к. наше руководство уволилось а новым было не интересно,voice
alexey_123,2025-04-19T12:53:00,Что бы ты изменил в прошлом?,Смерть В.Цоя,voice
alexey_123,2025-04-19T12:54:00,Согласен помогать незнакомцу без выгоды?,Да,voice
alexey_123,2025-04-19T12:55:00,Какой запах любишь?,Цветение липы в Санкт-Петербурге,voice
alexey_123,2025-04-19T12:56:00,Какой совет даёшь детям?,Не сдавайся!,voice
alexey_123,2025-04-19T12:57:00,Согласен хвастаться достижениями?,Да,voice
alexey_123,2025-04-19T12:58:00,Что тебя вдохновляет?,Жизнь,voice
alexey_123,2025-04-19T12:59:00,Веришь в чудеса?,Да,voice
alexey_123,2025-04-19T13:00:00,Согласен жить ради других?,Да,voice
alexey_123,2025-04-19T13:01:00,Какой твой главный талант?,Фантазия,voice
alexey_123,2025-04-19T13:02:00,Какой звук успокаивает?,Воды,voice
alexey_123,2025-04-19T13:03:00,Что бы ты сказал Богу?,Спасибо,voice
alexey_123,2025-04-19T13:04:00,Согласен искать выгоду в чужом несчастье?,Нет,voice
alexey_123,2025-04-19T13:05:00,Что важнее — интуиция или расчёт?,Интуиция,voice
alexey_123,2025-04-19T13:06:00,Какая твоя главная мечта?,Чтобы наши дети были счастливы и не знали нужды,voice
alexey_123,2025-04-19T13:07:00,Что ты делаешь с детьми вместе?,Смотрим кино,voice
alexey_123,2025-04-19T13:08:00,Согласен игнорировать чужую боль?,Да,voice
alexey_123,2025-04-19T13:09:00,Что вызывает у тебя гордость?,Успех,voice
alexey_123,2025-04-19T13:10:00,Кого из авторов любишь?,Жюль Верн Стивенсон Булгаков Ильф и Петров,voice
alexey_123,2025-04-19T13:11:00,Согласен рисковать всем ради мечты?,Да,voice
alexey_123,2025-04-19T13:12:00,Что делаешь перед сном?,Работаю над нейропроектами или играю или смотрю ютуб/кино/сериалы,voice
alexey_123,2025-04-19T13:13:00,Какой вкус ассоциируется с детством?,Напиток Крем-сода СССР,voice
alexey_123,2025-04-19T13:14:00,Что бы ты оставил детям в наследство?,Знания опыт,voice
alexey_123,2025-04-19T13:15:00,Согласен жертвовать ради правды?,Да,voice
alexey_123,2025-04-19T13:16:00,Какой твой главный жизненный вызов?,Реализация,voice
alexey_123,2025-04-19T13:17:00,Какой сезон года любишь?,Весна,voice
alexey_123,2025-04-19T13:18:00,Какой твой главный бизнес-мотив?,Свобода в принятии решений,voice
alexey_123,2025-04-19T13:19:00,Согласен манипулировать людьми ради цели?,Да,voice
alexey_123,2025-04-19T13:20:00,Где бы ты хотел жить через 10 лет?,На берегу горного озера,voice
alexey_123,2025-04-19T13:21:00,Согласен прощать врагов?,Да,voice
alexey_123,2025-04-19T13:22:00,Какой твой главный страх в бизнесе?,Оказаться слабым для решения проблем,voice
alexey_123,2025-04-19T13:23:00,Какое животное тебе ближе?,Кошка,voice
alexey_123,2025-04-19T13:24:00,Что бы ты сделал с миллиардом долларов?,Разделил и инвестировал в семью бизнес ценные бумаги благотворительность,voice
alexey_123,2025-04-19T13:25:00,Согласен жертвовать временем ради денег?,Да,voice
alexey_123,2025-04-19T13:26:00,Какая игра была любимой в детстве?,Войнушка,voice
alexey_123,2025-04-19T13:27:00,Какое природное явление любишь?,Тёплый пушистый снегопад,voice
alexey_123,2025-04-19T13:28:00,Что вызывает у тебя смех?,Юмор,voice
alexey_123,2025-04-19T13:29:00,Что важнее — процесс или результат?,Результат,voice
alexey_123,2025-04-19T13:30:00,Веришь в жизнь после смерти?,Да,voice
alexey_123,2025-04-19T13:31:00,Согласен отказаться от амбиций ради семьи?,Нет,voice
alexey_123,2025-04-19T13:32:00,Что делаешь когда злишься?,Стискиваю зубы,voice
alexey_123,2025-04-19T13:33:00,Любимый предмет в школе?,История,voice
alexey_123,2025-04-19T13:34:00,Какой твой главный жизненный урок?,Жизнь - это хаос,voice
alexey_123,2025-04-19T13:35:00,Согласен лгать ради защиты близких?,Да,voice
alexey_123,2025-04-19T13:36:00,Какое качество ценишь в жене?,Шарм,voice
